,saleprice,lot_frontage,lot_area,overall_qual,overall_cond,year_built,year_remod/add,yr_sold,mas_vnr_area,bsmtfin_sf_1,total_bsmt_sf,frst_flr_sf,sec_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,totrms_abvgrd,fireplaces,garage_area,wood_deck_sf,open_porch_sf,screen_porch,neighborhood,exter_qual,exter_cond,bsmt_exposure,kitchen_qual,garage_finish,heating_qc,fireplace_qu
0,130500,0.0,13517,6,8,1976,2005,2010,289.0,533.0,725.0,725,754,1479,0.0,0.0,2,1,3,6,0,475.0,0,44,0,Sawyer,Gd,TA,No,Gd,RFn,Ex,None
1,220000,43.0,11492,7,5,1996,1997,2009,132.0,637.0,913.0,913,1209,2122,1.0,0.0,2,1,4,8,1,559.0,0,74,0,SawyerW,Gd,TA,No,Gd,RFn,Ex,TA
2,109000,68.0,7922,5,7,1953,2007,2010,0.0,731.0,1057.0,1057,0,1057,1.0,0.0,1,0,3,5,0,246.0,0,52,0,NAmes,TA,Gd,No,Gd,Unf,TA,None
3,174000,73.0,9802,5,5,2006,2007,2010,0.0,0.0,384.0,744,700,1444,0.0,0.0,2,1,3,7,0,400.0,100,0,0,Timber,TA,TA,No,TA,Fin,Gd,None
4,138500,82.0,14235,6,8,1900,1993,2010,0.0,0.0,676.0,831,614,1445,0.0,0.0,2,0,3,6,0,484.0,0,59,0,SawyerW,TA,TA,No,TA,Unf,TA,None
5,190000,137.0,16492,6,6,1966,2002,2010,0.0,247.0,1517.0,1888,0,1888,0.0,0.0,2,1,2,6,1,578.0,0,0,0,NAmes,Gd,TA,No,Gd,Fin,Ex,Gd
6,140000,35.0,3675,6,5,2005,2006,2006,82.0,547.0,547.0,1072,0,1072,1.0,0.0,2,0,2,5,0,525.0,0,44,0,Edwards,TA,TA,Gd,TA,Fin,Gd,None
7,142000,0.0,12160,5,5,1959,1959,2010,180.0,1000.0,1188.0,1188,0,1188,1.0,0.0,1,0,3,6,0,531.0,0,0,0,NAmes,TA,TA,No,TA,RFn,Fa,None
8,112500,0.0,15783,5,5,1952,1952,2007,0.0,292.0,924.0,924,0,924,0.0,0.0,1,0,2,6,0,420.0,0,324,0,OldTown,TA,TA,No,TA,Unf,TA,None
9,135000,70.0,11606,5,5,1969,1969,2007,192.0,650.0,1040.0,1040,1040,2080,0.0,1.0,1,2,5,9,2,504.0,335,0,0,NAmes,TA,TA,Av,Fa,Unf,TA,TA
10,85400,21.0,1680,6,5,1971,1971,2008,232.0,387.0,483.0,483,504,987,0.0,0.0,1,1,2,4,0,264.0,0,0,0,BrDale,TA,TA,No,TA,Unf,TA,None
11,183600,64.0,7488,7,5,2005,2005,2006,0.0,393.0,1208.0,1208,0,1208,0.0,0.0,2,0,2,6,0,632.0,105,58,0,CollgCr,Gd,TA,Av,Gd,RFn,Ex,None
12,131000,120.0,26400,5,7,1880,2007,2009,0.0,0.0,0.0,1288,728,2016,0.0,0.0,1,0,4,7,1,576.0,0,0,0,SawyerW,Gd,TA,No,TA,Unf,Ex,TA
13,200000,24.0,2645,8,5,1999,2000,2008,456.0,813.0,960.0,962,645,1607,1.0,0.0,2,1,3,7,0,480.0,169,0,0,Somerst,Gd,TA,No,Gd,Unf,Ex,None
14,193000,74.0,9627,7,5,2007,2007,2008,0.0,24.0,1351.0,1361,0,1361,0.0,0.0,2,0,3,6,0,610.0,0,50,0,CollgCr,Gd,TA,Av,Gd,RFn,Ex,None
15,173500,93.0,10114,5,5,2004,2005,2010,0.0,0.0,1430.0,1430,0,1430,0.0,0.0,2,0,3,7,0,624.0,0,0,0,Mitchel,TA,TA,Av,Gd,RFn,Ex,None
16,98000,34.0,4571,5,5,1916,1950,2008,0.0,0.0,624.0,624,720,1344,0.0,0.0,1,0,4,7,0,513.0,0,0,0,OldTown,TA,TA,No,TA,Unf,Fa,None
17,139000,80.0,8816,5,6,1963,1963,2009,0.0,651.0,1121.0,1121,0,1121,1.0,0.0,1,0,3,5,0,480.0,0,80,0,Sawyer,TA,TA,No,TA,Unf,TA,None
18,143500,71.0,8197,6,5,1977,1977,2007,148.0,0.0,660.0,1285,0,1285,0.0,0.0,1,1,3,7,1,528.0,138,0,0,Sawyer,TA,TA,No,TA,RFn,Ex,TA
19,215200,72.0,8640,7,5,2009,2009,2010,0.0,24.0,756.0,764,783,1547,0.0,0.0,2,1,3,7,0,614.0,169,45,0,Somerst,TA,TA,Mn,Gd,Unf,Ex,None
