,num,sentence,tag
0,1,You,O
1,1,can,O
2,1,walk,O
3,1,to,O
4,1,the,O
5,1,Orchard,B-geo
6,1,",",O
7,1,Clarke,B-geo
8,1,Quay,I-geo
9,1,and,O
10,1,lots,O
11,1,of,O
12,1,restaurants,O
13,1,.,O
14,1,Receptionist,O
15,1,helps,O
16,1,you,O
17,1,for,O
18,1,24,B-tim
19,1,hours,I-tim
20,1,and,O
21,1,was,O
22,1,very,O
23,1,helpful,O
24,1,.,O
25,2,This,O
26,2,hotel,O
27,2,is,O
28,2,very,O
29,2,clean,O
30,2,and,O
31,2,in,O
32,2,an,O
33,2,excellent,O
34,2,location,O
35,2,in,O
36,2,the,O
37,2,heart,O
38,2,of,O
39,2,Chinatown,B-gpe
40,2,.,O
41,2,The,O
42,2,staff,O
43,2,are,O
44,2,very,O
45,2,friendly,O
46,2,and,O
47,2,helpful,O
48,2,.,O
49,2,The,O
50,2,only,O
51,2,issue,O
52,2,I,O
53,2,had,O
54,2,was,O
55,2,the,O
56,2,room,O
57,2,I,O
58,2,was,O
59,2,given,O
60,2,was,O
61,2,smaller,O
62,2,than,O
63,2,I,O
64,2,had,O
65,2,understood,O
66,2,from,O
67,2,the,O
68,2,photos,O
69,2,and,O
70,2,had,O
71,2,no,O
72,2,windows,O
73,2,which,O
74,2,would,O
75,2,be,O
76,2,okay,O
77,2,for,O
78,2,me,O
79,2,for,O
80,2,1,O
81,2,2,O
82,2,nights,O
83,2,but,O
84,2,not,O
85,2,longer,O
86,2,.,O
87,2,I,O
88,2,had,O
89,2,originally,O
90,2,booked,O
91,2,7,O
92,2,nights,O
93,2,but,O
94,2,only,O
95,2,stayed,O
96,2,1,O
97,2,night,O
98,2,.,O
99,3,I,O
100,3,stayed,O
101,3,at,O
102,3,Heritage,B-org
103,3,Apertments,I-org
104,3,Chinatown,I-org
105,3,.,O
106,3,The,O
107,3,unit,O
108,3,was,O
109,3,small,O
110,3,but,O
111,3,had,O
112,3,everything,O
113,3,I,O
114,3,needed,O
115,3,.,O
116,3,It,O
117,3,was,O
118,3,also,O
119,3,within,O
120,3,walking,O
121,3,distance,O
122,3,of,O
123,3,the,O
124,3,Chinatown,B-gpe
125,3,CBD,O
126,3,and,O
127,3,many,O
128,3,tourist,O
129,3,places,O
130,3,in,O
131,3,Chinatown,B-gpe
132,3,.,O
133,3,The,O
134,3,host,O
135,3,Mary,B-per
136,3,was,O
137,3,very,O
138,3,helpful,O
139,3,and,O
140,3,easy,O
141,3,to,O
142,3,communicate,O
143,3,with,O
144,3,.,O
145,4,The,O
146,4,home,O
147,4,is,O
148,4,about,O
149,4,10,B-tim
150,4,minutes,I-tim
151,4,from,O
152,4,the,O
153,4,Bugis,B-geo
154,4,Metro,O
155,4,",",O
156,4,but,O
157,4,there,O
158,4,will,O
159,4,be,O
160,4,a,O
161,4,new,O
162,4,place,O
163,4,to,O
164,4,export,O
165,4,",",O
166,4,and,O
167,4,the,O
168,4,line,O
169,4,will,O
170,4,arrive,O
171,4,in,O
172,4,the,O
173,4,past,O
174,4,1,B-tim
175,4,minute,I-tim
176,4,",",O
177,4,but,O
178,4,it,O
179,4,has,O
180,4,not,O
181,4,been,O
182,4,opened,O
183,4,when,O
184,4,I,O
185,4,live,O
186,4,.,O
187,4,I,O
188,4,am,O
189,4,a,O
190,4,vegetarian,O
191,4,",",O
192,4,living,O
193,4,here,O
194,4,is,O
195,4,super,O
196,4,convenient,O
197,4,",",O
198,4,traveling,O
199,4,a,O
200,4,Fortune,O
201,4,Center,O
202,4,for,O
203,4,about,O
204,4,5,O
205,4,minutes,O
206,4,",",O
207,4,there,O
208,4,are,O
209,4,about,O
210,4,more,O
211,4,than,O
212,4,10,O
213,4,different,O
214,4,vegetarian,O
215,4,restaurants,O
216,4,inside,O
217,4,.,O
218,4,Awes,O
219,4,The,O
220,4,landlord,O
221,4,is,O
222,4,also,O
223,4,very,O
224,4,happy,O
225,4,to,O
226,4,introduce,O
227,4,the,O
228,4,nearby,O
229,4,tourist,O
230,4,attractions,O
231,4,to,O
232,4,me,O
233,4,",",O
234,4,there,O
235,4,is,O
236,4,a,O
237,4,problem,O
238,4,asking,O
239,4,for,O
240,4,a,O
241,4,quick,O
242,4,reply,O
243,4,It,O
244,4,is,O
245,4,worth,O
246,4,recommending,O
247,4,to,O
248,4,everyone,O
249,4,Especially,O
250,4,vegetarians,O
251,5,Wonderful,O
252,5,place,O
253,5,Sue,B-per
254,5,is,O
255,5,very,O
256,5,quick,O
257,5,and,O
258,5,responsive,O
259,5,",",O
260,5,as,O
261,5,is,O
262,5,Virginy,O
263,5,.,O
264,5,The,O
265,5,house,O
266,5,is,O
267,5,clean,O
268,5,and,O
269,5,super,O
270,5,close,O
271,5,to,O
272,5,the,O
273,5,bus,O
274,5,stop,O
275,5,multiple,O
276,5,bus,O
277,5,lines,O
278,5,that,O
279,5,take,O
280,5,you,O
281,5,downtown,O
282,5,",",O
283,5,MRT,O
284,5,",",O
285,5,Botanic,B-geo
286,5,Gardens,I-geo
287,5,",",O
288,5,etc,O
289,5,.,O
290,5,",",O
291,5,and,O
292,5,the,O
293,5,Jelita,O
294,5,Cold,B-org
295,5,Storage,I-org
296,5,Supermarket,O
297,5,open,O
298,5,24,O
299,5,7,O
300,5,",",O
301,5,btw,O
302,5,.,O
303,5,The,O
304,5,Jelita,O
305,5,Cold,B-org
306,5,Storage,I-org
307,5,also,O
308,5,houses,O
309,5,a,O
310,5,medical,O
311,5,clinic,O
312,5,",",O
313,5,in,O
314,5,case,O
315,5,you,O
316,5,get,O
317,5,sick,O
318,5,.,O
319,5,Very,O
320,5,safe,O
321,5,and,O
322,5,quiet,O
323,5,neighborhood,O
324,5,.,O
325,5,I,O
326,5,really,O
327,5,have,O
328,5,no,O
329,5,complaints,O
330,6,The,O
331,6,place,O
332,6,was,O
333,6,great,O
334,6,",",O
335,6,well,O
336,6,set,O
337,6,up,O
338,6,in,O
339,6,a,O
340,6,convenient,O
341,6,location,O
342,6,near,O
343,6,Orchard,B-geo
344,6,shopping,O
345,6,malls,O
346,6,to,O
347,6,the,O
348,6,north,O
349,6,",",O
350,6,with,O
351,6,parks,O
352,6,and,O
353,6,some,O
354,6,stylish,O
355,6,cafes,O
356,6,to,O
357,6,the,O
358,6,south,O
359,6,.,O
360,6,Vanessa,B-per
361,6,was,O
362,6,helpful,O
363,6,and,O
364,6,responded,O
365,6,quickly,O
366,6,.,O
367,6,Really,O
368,6,enjoyed,O
369,6,my,O
370,6,stay,O
371,6,here,O
372,6,.,O
373,7,Alex,B-per
374,7,is,O
375,7,place,O
376,7,was,O
377,7,absolutely,O
378,7,fantastic,O
379,7,.,O
380,7,Looked,O
381,7,exactly,O
382,7,as,O
383,7,it,O
384,7,did,O
385,7,in,O
386,7,the,O
387,7,photos,O
388,7,",",O
389,7,clean,O
390,7,",",O
391,7,and,O
392,7,was,O
393,7,in,O
394,7,a,O
395,7,perfect,O
396,7,location,O
397,7,across,O
398,7,the,O
399,7,street,O
400,7,from,O
401,7,the,O
402,7,Chinatown,B-gpe
